ingredientid,ingredient_label,ingredient_exp,列1,ingredient_exp2
1004,263,オートミール,えんばく　オートミール,オートミール
1015,13,薄力粉,こむぎ　［小麦粉］　薄力粉　1等,薄力粉
1018,327,中力粉,こむぎ　［小麦粉］　中力粉　1等,中力粉
1020,30,強力粉,こむぎ　［小麦粉］　強力粉　1等,強力粉
1024,48,ホットケーキミックス,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,ホットケーキミックス
1025,202,天ぷら粉,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,天ぷら粉
1026,73,食パン,こむぎ　［パン類］　角形食パン　食パン,食パン
1031,257,フランスパン,こむぎ　［パン類］　フランスパン,フランスパン
1034,468,ロールパン,こむぎ　［パン類］　ロールパン,ロールパン
1036,328,イングリッシュマフィン,こむぎ　［パン類］　イングリッシュマフィン,イングリッシュマフィン
1038,152,うどん,こむぎ　［うどん・そうめん類］　うどん　生,うどん（生）
1039,411,ゆでうどん,こむぎ　［うどん・そうめん類］　うどん　ゆで,うどん（ゆで）
1041,533,うどん乾麺,こむぎ　［うどん・そうめん類］　干しうどん　乾,うどん（乾）
1043,177,そうめん,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,そうめん（乾）
1047,308,中華麺,こむぎ　［中華めん類］　中華めん　生,中華麺（生）
1049,344,焼きそば,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,焼きそば（蒸）
1063,43,パスタ,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,パスタ（乾）
1074,148,餃子の皮,こむぎ　［その他］　ぎょうざの皮　生,餃子の皮
1076,402,ピザ生地,こむぎ　［その他］　ピザ生地,ピザ生地
1077,34,パン粉,こむぎ　［その他］　パン粉　生,パン粉
1083,65,米,こめ　［水稲穀粒］　精白米　うるち米,米
1085,360,玄米,こめ　［水稲めし］　玄米,玄米（炊いたもの）
1088,22,ご飯,こめ　［水稲めし］　精白米　うるち米,ご飯
1114,243,上新粉,こめ　［うるち米製品］　上新粉,上新粉
1116,99,塩麹,こめ　［うるち米製品］　米こうじ,米こうじ
1117,276,切り餅,こめ　［もち米製品］　もち,餅
1120,186,白玉粉,こめ　［もち米製品］　白玉粉,白玉粉
1122,450,そば粉,そば　そば粉　全層粉,そば粉
1129,384,そば,そば　干しそば　乾,そば（乾）
1132,478,コーンミール,とうもろこし　コーンミール　黄色種,コーンミール
1137,354,コーンフレーク,とうもろこし　コーンフレーク,コーンフレーク
1142,390,ライ麦粉,ライむぎ　全粒粉,ライ麦粉
1151,206,もち米,こめ　［水稲穀粒］　精白米　もち米,もち米
1158,164,米粉,こめ　［うるち米製品］　米粉,米粉
1172,220,天かす,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,天かす
1174,446,トースト,こむぎ　［パン類］　角形食パン　焼き,食パン（焼き）
1179,175,春巻きの皮,こむぎ　［その他］　春巻きの皮　生,春巻きの皮
2003,113,こんにゃく,＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく,こんにゃく
2005,239,しらたき,＜いも類＞　こんにゃく　しらたき,しらたき
2006,84,さつまいも,＜いも類＞　（さつまいも類）　さつまいも　塊根　皮なし　生,さつまいも
2010,153,里芋,＜いも類＞　（さといも類）　さといも　球茎　生,里芋
2017,25,じゃがいも,＜いも類＞　じゃがいも　塊茎　皮なし　生,じゃがいも
2020,562,冷凍ポテト,＜いも類＞　じゃがいも　塊茎　皮なし　フライドポテト　（市販冷凍食品を揚げたもの）,冷凍ポテト
2023,161,長芋,＜いも類＞　（やまのいも類）　ながいも　ながいも　塊根　生,長芋
2034,14,片栗粉,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉,片栗粉
2035,133,コーンスターチ,＜でん粉・でん粉製品＞　（でん粉類）　とうもろこしでん粉,コーンスターチ
2039,150,春雨,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　乾,はるさめ（乾)
2054,577,ヤーコン,＜いも類＞　ヤーコン　塊根　生,ヤーコン
3001,218,黒糖,（砂糖類）　黒砂糖,黒砂糖
3003,0,砂糖,（砂糖類）　車糖　上白糖,砂糖
3004,134,三温糖,（砂糖類）　車糖　三温糖,三温糖
3005,35,グラニュー糖,（砂糖類）　ざらめ糖　グラニュー糖,グラニュー糖
3009,295,氷砂糖,（砂糖類）　加工糖　氷砂糖,氷砂糖
3011,140,粉砂糖,（砂糖類）　加工糖　粉糖,粉砂糖
3022,44,はちみつ,（その他）　はちみつ,はちみつ
3023,156,メープルシロップ,（その他）　メープルシロップ,メープルシロップ
