食品番号,食品名,TMR係数 (kg-TMR/kg),無単位,枚,本,個片丁株玉房,杯/カップ,半分,摘/少,小/小匙,中,大/大匙,一掴,袋,箱,缶/カン,CC,cm,束,合
3003,（砂糖類）　車糖　上白糖,9.4,-1,-1,-1,-1,-1,-1,-1,3,-1,9,-1,1000,-1,-1,-1,-1,-1,-1
17012,＜調味料類＞　（食塩類）　食塩,1.5,-1,-1,-1,-1,-1,-1,1,6,-1,18,-1,1000,-1,-1,-1,-1,-1,-1
#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17007,＜調味料類＞　（しょうゆ類）　こいくちしょうゆ,2.5,-1,-1,-1,-1,230,115,-1,6,-1,18,-1,-1,-1,-1,1.15,-1,-1,-1
12004,鶏卵　全卵　生,6.3,-1,-1,-1,60,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17138,＜調味料類＞　（その他）　料理酒,4.9,-1,-1,-1,-1,200,100,-1,5,-1,15,-1,-1,-1,-1,1,-1,-1,-1
13003,＜牛乳及び乳製品＞　（液状乳類）　普通牛乳,2.0,-1,-1,-1,-1,200,-1,-1,5,-1,15,-1,-1,-1,-1,1.05,-1,-1,-1
16025,＜アルコール飲料類＞　（混成酒類）　みりん　本みりん,3.0,-1,-1,-1,-1,230,115,-1,6,-1,18,-1,-1,-1,-1,1.15,-1,-1,180
14017,（バター類）　無発酵バター　有塩バター,54.2,-1,-1,-1,-1,180,-1,-1,4,-1,12,-1,-1,-1,-1,-1,-1,-1,-1
6153,（たまねぎ類）　たまねぎ　りん茎　生,1.9,-1,-1,-1,200,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17042,＜調味料類＞　（ドレッシング類）　半固形状ドレッシング　マヨネーズ　全卵型,7.6,-1,-1,-1,-1,-1,-1,-1,5,-1,15,-1,-1,-1,-1,-1,-1,-1,-1
14002,（植物油脂類）　ごま油,8.0,-1,-1,-1,-1,-1,-1,-1,4,-1,12,-1,-1,-1,-1,-1,-1,-1,-1
14001,（植物油脂類）　オリーブ油,8.0,-1,-1,-1,-1,-1,-1,-1,4,-1,12,-1,-1,-1,-1,-1,-1,-1,-1
1015,こむぎ　［小麦粉］　薄力粉　1等,2.8,-1,-1,-1,-1,150,75,-1,3,-1,9,-1,200,-1,-1,-1,-1,-1,-1
2034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉,1.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,500,-1,-1,-1,-1,-1,-1
14006,（植物油脂類）　調合油,8.0,-1,-1,-1,-1,-1,-1,-1,4,-1,12,-1,-1,-1,-1,-1,-1,-1,-1
6214,（にんじん類）　にんじん　根　皮なし　生,2.5,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6223,（にんにく類）　にんにく　りん茎　生,3.8,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17015,＜調味料類＞　（食酢類）　穀物酢,1.7,-1,-1,-1,-1,200,100,-1,5,-1,15,-1,-1,-1,-1,1,-1,-1,-1
13014,＜牛乳及び乳製品＞　（クリーム類）　クリーム　乳脂肪,2.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,200,-1,-1,-1,-1,-1
6061,（キャベツ類）　キャベツ　結球葉　生,3.8,-1,55,-1,1000,-1,500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7156,（かんきつ類）　レモン　果汁　生,3.8,-1,-1,-1,45,-1,-1,-1,5,-1,15,-1,-1,-1,-1,-1,-1,-1,-1
1088,こめ　［水稲めし］　精白米　うるち米,3.4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,500,-1,-1,-1,-1,-1,-1
17036,＜調味料類＞　（トマト加工品類）　トマトケチャップ,7.4,-1,-1,-1,-1,230,-1,-1,5,-1,15,-1,-1,-1,-1,-1,-1,-1,-1
6065,きゅうり　果実　生,5.7,-1,-1,100,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2017,＜いも類＞　じゃがいも　塊茎　皮なし　生,1.6,-1,-1,-1,120,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6245,（ピーマン類）　青ピーマン　果実　生,8.6,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6182,（トマト類）　赤色トマト　果実　生,7.1,-1,-1,-1,150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6134,（だいこん類）　だいこん　根　皮なし　生,2.8,-1,-1,1000,1000,-1,500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17084,＜その他＞　ベーキングパウダー,,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1
1020,こむぎ　［小麦粉］　強力粉　1等,2.8,-1,-1,-1,-1,150,75,-1,3,-1,9,-1,200,-1,-1,-1,-1,-1,-1
11183,＜畜肉類＞　ぶた　［ベーコン類］　ばらベーコン,13.3,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17046,＜調味料類＞　（みそ類）　米みそ　赤色辛みそ,2.7,-1,-1,-1,-1,230,115,-1,6,-1,18,-1,-1,-1,-1,-1,-1,-1,-1
8016,（しめじ類）　ぶなしめじ　生,5.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1
1077,こむぎ　［その他］　パン粉　生,4.8,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,200,-1,-1,-1,-1,-1,-1
3005,（砂糖類）　ざらめ糖　グラニュー糖,9.4,-1,-1,-1,-1,-1,-1,-1,3,-1,9,-1,500,-1,-1,-1,-1,-1,-1
12010,鶏卵　卵黄　生,6.3,-1,-1,-1,20,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17083,＜その他＞　酵母　パン酵母　乾燥,20.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,-1,-1,-1,-1,-1
6291,（もやし類）　りょくとうもやし　生,5.0,-1,-1,-1,-1,-1,125,-1,-1,-1,-1,-1,250,-1,-1,-1,-1,-1,-1
17065,＜香辛料類＞　こしょう　混合　粉,10.0,-1,-1,-1,-1,-1,1,1,2,-1,6,-1,-1,-1,-1,-1,-1,-1,-1
17031,＜調味料類＞　（調味ソース類）　オイスターソース,5.3,-1,-1,-1,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17027,＜調味料類＞　（だし類）　固形ブイヨン,48.8,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6103,（しょうが類）　しょうが　根茎　皮なし　生,3.0,-1,-1,-1,50,-1,-1,-1,6,-1,18,-1,-1,-1,-1,-1,-1,-1,-1
1063,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,2.0,-1,-1,-1,170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3022,（その他）　はちみつ,9.0,-1,-1,-1,-1,-1,-1,-1,7,-1,21,-1,-1,-1,-1,1.4,-1,-1,-1
17029,＜調味料類＞　（だし類）　めんつゆ　ストレート,7.0,-1,-1,-1,-1,230,-1,-1,6,-1,18,-1,-1,-1,-1,1.2,-1,-1,-1
17021,＜調味料類＞　（だし類）　かつお・昆布だし　荒節・昆布だし,7.0,-1,-1,-1,-1,200,-1,-1,5,-1,15,-1,-1,-1,-1,1,-1,-1,-1
6095,しそ　葉　生,3.8,-1,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,-1,-1,-1,10,-1
1024,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,5.0,-1,-1,-1,-1,150,75,-1,3,-1,9,-1,600,300,-1,-1,-1,-1,-1
6312,（レタス類）　レタス　土耕栽培　結球葉　生,3.0,-1,-1,-1,450,-1,225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4033,だいず　［豆腐・油揚げ類］　絹ごし豆腐,2.9,-1,-1,-1,250,-1,125,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6233,はくさい　結球葉　生,1.8,-1,-1,-1,1200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13040,＜牛乳及び乳製品＞　（チーズ類）　プロセスチーズ,2.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,-1,-1,-1,-1,-1,-1
13035,＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　クリーム,2.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,-1,-1,-1,-1,-1,-1
6226,（ねぎ類）　根深ねぎ　葉　軟白　生,4.9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,-1,-1,-1,-1,-1,-1
11176,＜畜肉類＞　ぶた　［ハム類］　ロースハム　ロースハム,13.3,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13038,＜牛乳及び乳製品＞　（チーズ類）　ナチュラルチーズ　パルメザン,1.8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,120,-1,-1,-1,-1,-1,-1
