食品番号,食品名,データソース(IDEA等),担当者,"TMR係数
(kg-TMR/kg)","GWP
(kg-CO2-eq/kg)","反応性窒素
(kg-NOx/kg)","カロリー
(kcal/kg)","脂質
(g/kg)","糖質
(g/kg)","タンパク質
(g/kg)","Na
(mg/kg)","K 
(mg/kg)","Ca 
(mg/kg)","Mg 
(mg/kg)","P 
(mg/kg)","Fe 
(mg/kg)","Zn 
(mg/kg)","Cu
(mg/kg)","Mn 
(mg/kg)","I 
(ug/kg)","Se  
(ug/kg)","Cr 
(ug/kg)","Mo 
(ug/kg)"
3003,（砂糖類） 車糖 上白糖,,,11.6,1.3200000,0.00159926,3910,0,993,0,10,20,10,Tr,Tr,Tr,0,0.1,0,0,0,0,0
17012,＜調味料類＞ （食塩類） 食塩,,,1.5,0.8770000,0.00112471,0,0,0,0,390000,1000,220,180,0,Tr,Tr,0.1,Tr,10,10,0,0
17007,＜調味料類＞ （しょうゆ類） こいくちしょうゆ,,,3.3323,0.5520000,0.00064739,760,0,79,77,57000,3900,290,650,1600,17,9,0.1,10,10,110,30,48
12004,鶏卵 全卵 生,,,7,2.0000000,0.00358194186,1420,102,4,122,1400,1300,460,100,1700,15,11,0.5,0.2,330,240,0,40
17138,＜調味料類＞ （その他） 料理酒,,,1.56,1.8800000,0.00241202,880,Tr,47,2,8700,60,20,20,40,Tr,Tr,Tr,0.4,Tr,0,20,20
13003,＜牛乳及び乳製品＞ （液状乳類） 普通牛乳,,,1.95,1.7300000,0.00137482,610,38,48,38,410,1500,1100,100,930,0.2,4,0.1,Tr,160,30,0,40
16025,＜アルコール飲料類＞ （混成酒類） みりん 本みりん,,,1.95,1.6600000,0.00124304,2410,Tr,432,3,30,70,20,20,70,0,0,0.5,0.4,-,-,-,-
14017,（バター類） 無発酵バター 有塩バター,,,88.295,18.6000000,0.01447948,7000,810,2,6,7500,280,150,20,150,1,1,Tr,0,20,Tr,10,30
6153,（たまねぎ類） たまねぎ りん茎 生,,,2.0212,0.3468000,0.0005942425532,330,1,69,10,20,1500,170,90,310,3,2,0.5,1.5,10,10,0,10
17042,＜調味料類＞ （ドレッシング類） 半固形状ドレッシング マヨネーズ 全卵型,,,13.614,5.9900000,0.0098731,6680,760,36,14,7300,130,80,20,290,3,2,0.1,0.1,30,30,10,10
